issuer_name,surrogate_rows,source_row_ids,pool_ids,exit_type,exit_type_counts,max_confidence,max_source_coverage_score,max_continued_function_evidence_score,formal_event_examples,continued_function_examples,gold_standard_overlap,gold_case_id,gold_final_label,needs_human_review
上饶创新发展产业投资集团有限公司,1,sch_20260630_0055,harvest_0055,nominal_exit,nominal_exit:1,medium,3,3,管理委员会及上饶经济技术开发区管理 委员会作为出资人仅以出资额为限承担有限责任，相关举借债务由发行人作为 独立法人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资 职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政府债务。 1、发行人不存在“名股实债”、股东借款、借贷资金等债务性资金和以公 益性资产、储备土,不能从预期的还款来源 获得足够的资金，将可能影响本期中期票据按期足额还本付息。 二、发行人的相关风险 （一）财务风险 1、债务规模较大的风险 近年来，发行人进行基础设施建设的资金主要源于债务融资。随着业务不 断发展，发行人的整体债务规模也呈现出逐步增加的趋势。2023-2025 年末及 2026 年 3 月末，发行人负债总额分,true,sch_20260630_0055,nominal_exit,true
上饶市城市建设投资开发集团有限公司,1,sch_20260630_0136,harvest_0136,nominal_exit,nominal_exit:1,medium,3,2,假化解或新增政府隐 性债务，不会用于非经营性资产，不会划转给政府或财政使用，政府 不会通过财政资金直接偿还该笔债务。 4.发行人将进一步健全信息披露机制，发行人不承担政府融资职 能，自 2015 年 1 月 1 日起发行人新增债务依法不属于地方政府债务。 上饶市政府作为出资人仅以出资额为限承担有限责任，相关举借债务 由发行人作为独立,产业投资集团有限公司划入城控集团。新组建上饶市国有资产发展集团有限公司（以下简称国发 集团） 。定位于产业平台建设和运营服务商，划入涉及产业园区、交通运输、新型基础设施等领域 的上饶市国有资产经营集团有限公司和上饶市交通建设投资集团有限公司。 新组建上饶市农文旅发 展集团有限公司（以下简称农文旅集团） 。定位于特定行业领域投资,true,expand_jx_shangrao_chengtou,nominal_exit,true
临沂城市建设投资集团有限公司,2,sch_20260630_0115; sch_20260630_0154,harvest_0115; harvest_0154,nominal_exit,nominal_exit:2,medium,3,3,审批结果为准） 发行人承诺临沂市国资委作为出资人仅以出资额为限承担有限责任，相关 举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制， 公司不承担政府融资职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政府 债务。 截至本募集说明书签署日，发行人业务合法合规性情况： （1）截至本募集说明书签署日 | 以审批结果为准） 发行人承诺临沂市国资委作为出资人仅以出资额为限承担有限责任，相关 举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制， 公司不承担政府融资职能，自 2015 年 1 月 1 日起新增债务依法不属于地方政 府债务。 截至本募集说明书签署日，发行人业务合法合规性情况： （1）截至本募集说明书签署日，发,从事经营领域主要涉及木业、建筑等行业，属于国家大力支持和发 展的产业。在我国国民经济发展的不同阶段，国家和地方产业政策会有不同程 度的调整。未来不排除国家对城市基础设施的宏观政策出现调控的可能，从而 给发行人的经营管理活动带来潜在风险；同时政府对于土地利用、环境保护、 物价水平的关注，可能会对公司相关业务的短期利润实现和现金回 | 于国家大力支持和发 --- page 23 --- 22 展的产业。在我国国民经济发展的不同阶段，国家和地方产业政策会有不同程 度的调整。未来不排除国家对城市基础设施的宏观政策出现调控的可能，从而 给发行人的经营管理活动带来潜在风险；同时政府对于土地利用、环境保护、 物价水平的关注，可能会对公司相关业务的短期利润实现和现金回,true,expand_sd_linyi_chengtou,nominal_exit,true
丹阳投资集团有限公司,1,sch_20260630_0044,harvest_0044,nominal_exit,nominal_exit:1,medium,3,2,综合开发有限公司等34 家子公司。 发行人承诺出资人仅以出资额为限承担有限责任，相关举借债务由发行人 作为独立法人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府 融资职能，自2015 年1 月1 日起新增债务依法不属于地方政府债务。 发行人及其合并范围内子公司不存在“名股实债”的情况； 发行人的土地开发、基础设施建设和保障性,..........301 --- page 8 --- 8 重要提示 一、发行人主体提示 （一）核心风险提示 1、多元化经营风险 发行人从事土地开发、城市基础设施建设、水务、材料销售等业务，对外 投资企业行业涉及物流运输、创业投资、金融等领域。发行人对外投资企业行 业跨度较大，国内经济形势错综复杂，发行人投资企业能否持续,false,,,true
乐山国有资产投资运营(集团)有限公司,2,sch_20260630_0082; sch_20260630_0147,harvest_0082; harvest_0147,nominal_exit,nominal_exit:2,medium,3,2,项目，经相关部门批准后方可开展经营活动） 乐山市国资委作为出资人仅以出资额为限承担有限责任，相关举借债务由发 行人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能， 自 2015 年 1 月 1 日起新增债务依法不属于地方政府债务。 发行人合法合规情况： 1、截至本募集说明书签署之日，发行人母公司不存在以“名股实债” | 项目，经相关部门批准后方可开展经营活动） 乐山市国资委作为出资人仅以出资额为限承担有限责任，相关举借债务由发 行人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能， 自2015年1月1日起新增债务依法不属于地方政府债务。 发行人合法合规情况： 1、截至本募集说明书签署日，发行人母公司不存在以“名股实债”、股东借 款、,主要风险和报酬转移给客户，即客户已取得该商品所有权上的主要 风险和报酬；客户已接受该商品；其他表明客户已取得商品控制权的迹象。 本公司收入确认的具体方法： 基础设施建设：公司基础设施建设业务属于在某一时段内履行的履约义务，根据已发生成本占 预计总成本的比例确定提供服务的履约进度，并按履约进度确认收入。履约进度不能合理确定时,true,expand_sc_leshan_guozi,nominal_exit,true
亳州城建发展控股集团有限公司,1,sch_20260630_0032,harvest_0032,nominal_exit,nominal_exit:1,medium,3,2,会通过财政资金直接偿还该笔债务。政府仅 作为出资人仅以出资额为限承担有限责任，相关债务由地方国有企业作为独立法 人负责偿还。发行人将进一步健全信息披露机制，公司不承担政府融资职能，自 2015年1月1日起新增债务依法不属于地方政府债务。 发行人将严格按照中国银行间市场交易商协会关于非金融企业债务融资工具 募集资金使用有关规定，以及公,州城建发展控股集团有限公司 公司注册地址：安徽省亳州市养生大道南侧，龙山路(现漆园路)西侧 法定代表人：孙峰 本公司主要经营活动：代建项目，施工项目，城乡基础设施（包括市政工程、水利 等）建设、运营，房地产开发及销售，建筑材料销售，工程咨询，药材生产与流通等。 2. 历史沿革 亳州城建发展控股集团有限公司（曾用名：亳,false,,,true
伊犁州国有资产投资经营有限责任公司,2,sch_20260630_0117; sch_20260630_0169,harvest_0117; harvest_0169,nominal_exit,nominal_exit:2,medium,3,3,，政府不会通过财政资金 直接偿还该笔债务。发行人不存在政府承诺将储备土地预期出让收入作为融资平台 公司偿债资金来源的行为。发行人将进一步健全信息披露制度，发行人不承担政府 融资职能，自 2015 年 1 月 1 日起发行人新增债务依法不属于地方政府债务。 本期短期融资券募集资金用于符合国家法律法规及政策要求的企业生产经营 活动；发行人,，主要为粮油产品的收储贸 易业务；二是内销板块，主要为各类产品的贸易业务；三是租赁板块，包括草原租 赁和厂房租赁等；四是房产销售及工程项目板块，包括保障房业务和基础设施建设 业务。随着政府项目从垄断逐步走向市场化，一部分有实力的企业与公司在资源、 市场、人才方面的竞争将更加激烈，从而对公司未来的经营发展带来一定的不利影 响。,true,sch_20260630_0117,nominal_exit,true
六安城市建设投资有限公司,1,sch_20260630_0090,harvest_0090,nominal_exit,nominal_exit:1,medium,3,3,隐性债务。 六安市国有资产监督管理委员会作为出资人仅以出资额为限承担有限责任， 相关举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息披露机 制，公司不承担政府融资职能，自2015年1月1日起新增债务依法不属于地方政府 债务。 二、发行人历史沿革 六安城市建设投资有限公司根据安徽省六安行署《关于成立六安城市建设投 资有限公,下重大事项，并仔细阅读本募集说明书中“风险提示及说明” 等有关章节。 一、发行人核心风险提示 1.发行人未来投资金额较大的风险 公司作为六安市政府批准成立的城市基础设施建设投资运营唯一主体，投资 经营项目以六安市城市基础设施建设为主，项目建设周期长，资金需求量大。根 据计划，公司目前在建工程总投资 521.26 亿元，已完成投,true,expand_ah_luan_chengtou,nominal_exit,true
北京控股集团有限公司,1,sch_20260630_0016,harvest_0016,nominal_exit,nominal_exit:1,medium,3,3,款等金融相关业务。地方 政府（或相关部门）作为出资人仅以出资额为限承担有限责任，相关举借债务由 发行人作为独立法人负责偿还。发行人将进一步健全信息披露机制，公司不承担 政府融资职能，自2015 年1 月1 日起新增债务依法不属于地方政府债务。举借 该期债务募集资金用途符合国办发[2018]101 号文等文件支持的相关领域，符合 党中央,。其中：2019 年8 月16 日，北京市国资委下发《北京市人民政府国有资产 --- page 7 --- 7 监督管理委员会关于拨付北控集团城市基础设施技术创新平台建设项目2019 年 国有资本经营预算资金的通知》，向发行人拨付2019 年国有资本经营预算安排资 金600 万元用于增加发行人国家资本金。2019,false,,,true
南京市交通建设投资控股(集团)有限责任公司,1,sch_20260630_0052,harvest_0052,nominal_exit,nominal_exit:1,medium,3,2,保。 发行人承诺，地方政府（或相关部门）作为出资人仅以出资额为限承担有限 责任，相关举借债务由发行人作为独立法人负责偿还。发行人将进一步健全信息 披露机制，公司不承担政府融资职能，自 2015 年 1 月 1 日起新增债务依法不属 于地方政府债务。 二、历史沿革 南京市交通建设投资控股（集团）有限责任公司（以下简称“交通集团”）成,",674.06 -301,325.94 5 南京交控万物城市运营服务有限公司 3,022,263.97 1,022,263.97 6 华夏南京交通高速公路封闭式基础设施证券投资基金 2,739,885,820.92 13,885,821.64 7 南京低空飞行服务管理有限公司 18,751,750.21 -1,248,249.",true,sch_20260630_0052,nominal_exit,true
